from;to;load
0;1;0.03
0;3;0.02
1;0;0.03
1;11;0.03
1;15;0.02
1;16;0.03
1;18;0.03
1;19;0.03
2;8;0.03
2;9;0.03
3;0;0.03
3;5;0.03
3;16;0.03
3;23;0.01
4;8;0.02
4;16;0.02
4;20;0.02
5;3;0.03
5;22;0.02
6;11;0.02
6;15;0.01
6;17;0.03
6;23;0.03
6;28;0.03
7;8;0.02
7;9;0.02
7;13;0.03
7;15;0.03
7;18;0.03
7;21;0.03
7;24;0.03
8;2;0.01
8;4;0.03
8;7;0.03
8;10;0.03
8;12;0.02
8;13;0.03
8;15;0.03
8;17;0.03
8;19;0.03
9;2;0.01
9;7;0.03
9;12;0.03
9;15;0.03
9;26;0.03
10;8;0.02
10;16;0.03
11;1;0.03
11;6;0.03
12;8;0.03
12;9;0.03
13;7;0.02
13;8;0.02
14;16;0.03
14;22;0.03
14;25;0.01
15;1;0.03
15;6;0.03
15;7;0.03
15;8;0.03
15;9;0.03
15;16;0.03
15;22;0.03
15;24;0.02
15;25;0.02
15;26;0.02
15;28;0.03
15;29;0.03
16;1;0.03
16;3;0.03
16;4;0.03
16;10;0.03
16;14;0.02
16;15;0.03
16;20;0.03
16;22;0.01
16;23;0.03
17;6;0.03
17;8;0.02
18;1;0.02
18;7;0.03
19;1;0.02
19;8;0.03
19;27;0.02
20;4;0.02
20;16;0.02
21;7;0.03
21;23;0.03
22;5;0.03
22;14;0.03
22;15;0.03
22;16;0.03
22;29;0.02
23;3;0.03
23;6;0.03
23;16;0.01
23;21;0.02
23;27;0.02
24;7;0.03
24;15;0.02
25;14;0.01
25;15;0.03
26;9;0.03
26;15;0.03
27;19;0.02
27;23;0.02
28;6;0.03
28;15;0.01
29;15;0.03
29;22;0.03
